Taxa,Source,PC1,PC2,PC3
52131,CIMMYT,4.555827,5.659012,11.931811
52132,CIMMYT,-6.889448,10.067967,25.088402
52133,CIMMYT,-5.996322,5.94138,19.434498
52134,CIMMYT,-5.4991727,5.555053,28.313654
52135,CIMMYT,0.91549873,1.5450457,11.5954685
52136,CIMMYT,-1.015524,-1.1663504,25.809565
52137,CIMMYT,4.803644,7.895019,18.231596
52138,CIMMYT,-4.004145,1.4675418,31.212431
52139,CIMMYT,-2.6468272,0.054976758,12.747389
52140,CIMMYT,-5.104918,-0.15199952,17.194794
52141,CIMMYT,-2.8608408,14.592993,23.972273
52142,CIMMYT,1.0689995,0.5034741,17.637953
52143,Other,14.712088,30.649977,-3.6412756
52144,Other,-10.867772,3.0684137,20.335907
52145,USDA,-6.3194184,0.57646114,24.913435
52146,USDA,-3.8800695,-1.8622477,25.037645
52147,USDA,-2.2793314,1.1120243,22.349205
52148,USDA,6.6069336,-4.0835147,24.78486
52149,USDA,-2.2487154,1.6553922,21.875587
52150,USDA,-5.8572664,0.8318826,24.545616
52151,USDA,4.112803,-0.55163443,24.182552
52152,USDA,1.5415574,-1.6444241,17.905533
52153,USDA,0.58937,-2.7937584,16.842466
52154,USDA,0.7864742,-8.422317,16.242228
52155,USDA,1.9260746,-7.539725,18.913593
52156,USDA,0.8119156,-0.397898,22.812212
52157,USDA,-6.0015507,2.5595899,26.193314
52158,USDA,-6.4647436,1.023379,24.623163
52159,USDA,-2.60042,-3.0600922,23.44965
52160,USDA,-5.6300793,-5.9853997,21.055693
52161,USDA,-5.1696115,-4.9478374,21.600754
52162,USDA,-5.3408246,-4.8451667,21.462729
52163,Other,-5.548467,1.974481,22.053621
52164,Other,-2.4553988,0.1016986,25.094866
52165,Other,-5.92584,1.763831,21.922522
52166,Other,-10.523057,7.420274,29.362362
52167,Other,-10.0492,7.9214363,29.548456
52168,UI,-5.9327016,-12.130292,2.7078435
52169,Other,-2.3688145,-4.1139846,7.940612
52170,Other,-5.9304843,-12.124072,2.7131765
52171,UI,-2.2751613,-12.115602,12.412043
52181,UI,-22.188622,-2.0775247,-11.565509
52193,UI,-34.932323,-10.592329,-8.264339
52203,UI,-35.684532,-12.010438,-10.905849
52215,UI,3.37927,15.11446,3.56515
52226,UI,15.980607,-8.90072,4.192262
52249,UI,20.893255,-7.873002,-15.850848
52172,UI,4.0348063,-18.282042,-20.095083
52182,UI,-25.038225,1.960518,-8.853468
52194,UI,-33.173176,-11.532918,-8.097708
52204,UI,-32.397175,-9.432315,-10.750939
52216,UI,7.6078544,13.980288,5.949549
52227,UI,3.3968353,-2.5771053,1.9511747
52238,UI,3.4977157,-12.087624,-8.576047
52250,UI,22.538252,-9.322972,-17.52483
52173,UI,4.319575,-18.045162,-19.929808
52183,UI,-26.151678,0.27866992,-16.799568
52195,UI,-30.817905,-13.710611,-7.167962
52205,UI,-33.15031,-0.5688417,-9.379598
52228,UI,-4.641438,-11.0812845,12.69566
52239,UI,-4.655217,21.776909,-5.549817
52174,UI,-2.7522893,6.534145,-0.61810744
52184,UI,-28.143045,0.31358153,-6.831468
52196,UI,-33.697285,-10.3444805,-9.66068
