University,Start year,End year,Award Dollars,PI
University of Idaho,2019,NA,487459,NA
University of Idaho,2019,NA,499993,NA
University of Idaho,2019,NA,499999,NA
University of Idaho,2019,NA,638984,NA
University of Idaho,2019,NA,677500,NA
University of Idaho,2019,NA,874060,NA
University of Idaho,2019,NA,2038094,NA
University of Idaho,2019,NA,2981839,NA
University of Idaho,2020,NA,10750,NA
University of Idaho,2020,NA,43068,NA
University of Idaho,2020,NA,52242,NA
University of Idaho,2020,NA,52242,NA
University of Idaho,2020,NA,52949,NA
University of Idaho,2020,NA,72165,NA
University of Idaho,2020,NA,74412,NA
University of Idaho,2020,NA,74412,NA
University of Idaho,2020,NA,78295,NA
University of Idaho,2020,NA,88616,NA
University of Idaho,2020,NA,93616,NA
University of Idaho,2020,NA,140000,NA
University of Idaho,2020,NA,177136,NA
University of Idaho,2020,NA,196088,NA
University of Idaho,2020,NA,199923,NA
University of Idaho,2020,NA,199974,NA
University of Idaho,2020,NA,200000,NA
University of Idaho,2020,NA,200000,NA
University of Idaho,2020,NA,200000,NA
University of Idaho,2020,NA,280000,NA
University of Idaho,2020,NA,288999,NA
University of Idaho,2020,NA,298420,NA
University of Idaho,2020,NA,315955,NA
University of Idaho,2020,NA,324470,NA
University of Idaho,2020,NA,397104,NA
University of Idaho,2020,NA,397104,NA
University of Idaho,2020,NA,494021,NA
University of Idaho,2020,NA,495000,NA
University of Idaho,2020,NA,497522,NA
University of Idaho,2020,NA,499864,NA
University of Idaho,2020,NA,500000,NA
University of Idaho,2020,NA,500000,NA
University of Idaho,2020,NA,658798,NA
University of Idaho,2020,NA,660511,NA
University of Idaho,2020,NA,842868,NA
University of Idaho,2020,NA,854436,NA
University of Idaho,2020,NA,2023814,NA
University of Idaho,2020,NA,2030954,NA
University of Idaho,2020,NA,2969058,NA
University of Idaho,2020,NA,2976476,NA
University of Idaho,2020,NA,5756299,NA
University of Idaho,2020,NA,10000000,NA
University of Idaho,2021,NA,9243,NA
University of Idaho,2021,NA,17242,NA
University of Idaho,2021,NA,18425,NA
University of Idaho,2021,NA,33198,NA
University of Idaho,2021,NA,48382,NA
University of Idaho,2021,NA,52242,NA
University of Idaho,2021,NA,57002,NA
University of Idaho,2021,NA,57492,NA
University of Idaho,2021,NA,74412,NA
University of Idaho,2021,NA,78295,NA
University of Idaho,2021,NA,88616,NA
University of Idaho,2021,NA,93616,NA
University of Idaho,2021,NA,94088,NA
University of Idaho,2021,NA,112520,NA
University of Idaho,2021,NA,119215,NA
University of Idaho,2021,NA,119999,NA
University of Idaho,2021,NA,127862,NA
University of Idaho,2021,NA,132000,NA
University of Idaho,2021,NA,160000,NA
University of Idaho,2021,NA,175000,NA
University of Idaho,2021,NA,189308,NA
University of Idaho,2021,NA,199770,NA
University of Idaho,2021,NA,199999,NA
University of Idaho,2021,NA,200000,NA
University of Idaho,2021,NA,229463,NA
University of Idaho,2021,NA,236763,NA
University of Idaho,2021,NA,245330,NA
University of Idaho,2021,NA,250000,NA
University of Idaho,2021,NA,264000,NA
University of Idaho,2021,NA,280000,NA
University of Idaho,2021,NA,281762,NA
University of Idaho,2021,NA,292876,NA
University of Idaho,2021,NA,300000,NA
University of Idaho,2021,NA,329888,NA
University of Idaho,2021,NA,397104,NA
University of Idaho,2021,NA,487608,NA
University of Idaho,2021,NA,493800,NA
University of Idaho,2021,NA,499969,NA
University of Idaho,2021,NA,499985,NA
University of Idaho,2021,NA,499992,NA
University of Idaho,2021,NA,500000,NA
University of Idaho,2021,NA,544158,NA
University of Idaho,2021,NA,600000,NA
University of Idaho,2021,NA,602800,NA
University of Idaho,2021,NA,650000,NA
University of Idaho,2021,NA,681158,NA
University of Idaho,2021,NA,706699,NA
University of Idaho,2021,NA,749832,NA
University of Idaho,2021,NA,800000,NA
University of Idaho,2021,NA,874478,NA
University of Idaho,2021,NA,2024968,NA
University of Idaho,2021,NA,3017159,NA
University of Idaho,2022,NA,0,NA
University of Idaho,2022,NA,50000,NA
University of Idaho,2022,NA,52242,NA
University of Idaho,2022,NA,57045,NA
University of Idaho,2022,NA,74412,NA
University of Idaho,2022,NA,90000,NA
University of Idaho,2022,NA,90000,NA
University of Idaho,2022,NA,90000,NA
University of Idaho,2022,NA,140000,NA
University of Idaho,2022,NA,220518,NA
University of Idaho,2022,NA,224165,NA
University of Idaho,2022,NA,250000,NA
University of Idaho,2022,NA,257602,NA
University of Idaho,2022,NA,270060,NA
University of Idaho,2022,NA,274000,NA
University of Idaho,2022,NA,280000,NA
University of Idaho,2022,NA,280000,NA
University of Idaho,2022,NA,295930,NA
University of Idaho,2022,NA,299432,NA
University of Idaho,2022,NA,299965,NA
University of Idaho,2022,NA,299985,NA
University of Idaho,2022,NA,299985,NA
University of Idaho,2022,NA,300000,NA
University of Idaho,2022,NA,395975,NA
University of Idaho,2022,NA,729251,NA
University of Idaho,2022,NA,788699,NA
University of Idaho,2022,NA,863421,NA
University of Idaho,2022,NA,981000,NA
University of Idaho,2022,NA,1521852,NA
University of Idaho,2022,NA,2044775,NA
University of Idaho,2022,NA,3088177,NA
University of Idaho,2023,NA,50000,NA
University of Idaho,2023,NA,110500,NA
University of Idaho,2023,NA,110500,NA
University of Idaho,2023,NA,110500,NA
University of Idaho,2023,NA,119755,NA
University of Idaho,2023,NA,123163,NA
University of Idaho,2023,NA,143590,NA
University of Idaho,2023,NA,180000,NA
University of Idaho,2023,NA,224984,NA
University of Idaho,2023,NA,225000,NA
University of Idaho,2023,NA,247500,NA
University of Idaho,2023,NA,268326,NA
University of Idaho,2023,NA,276767,NA
University of Idaho,2023,NA,287179,NA
University of Idaho,2023,NA,299997,NA
University of Idaho,2023,NA,300000,NA
University of Idaho,2023,NA,300000,NA
University of Idaho,2023,NA,300000,NA
University of Idaho,2023,NA,479098,NA
University of Idaho,2023,NA,481755,NA
University of Idaho,2023,NA,649997,NA
University of Idaho,2023,NA,748965,NA
University of Idaho,2023,NA,749999,NA
University of Idaho,2023,NA,750000,NA
University of Idaho,2023,NA,771596,NA
University of Idaho,2023,NA,792650,NA
University of Idaho,2023,NA,1115500,NA
University of Idaho,2023,NA,5274299,NA
University of Idaho,2024,NA,20897,NA
University of Idaho,2024,NA,22818,NA
University of Idaho,2024,NA,30111,NA
University of Idaho,2024,NA,158390,NA
University of Idaho,2024,NA,205166,NA
University of Idaho,2024,NA,315480,NA
University of Idaho,2024,NA,345368,NA
University of Idaho,2024,NA,815258,NA
University of Idaho,2024,NA,1235134,NA
